Step,n_bits: 40 - eval/success_count,n_bits: 40 - eval/success_count__MIN,n_bits: 40 - eval/success_count__MAX
268,0.860000014,0.860000014,0.860000014
269,0.920000017,0.920000017,0.920000017
270,0.930000007,0.930000007,0.930000007
271,0.959999979,0.959999979,0.959999979
272,0.899999976,0.899999976,0.899999976
273,0.860000014,0.860000014,0.860000014
274,0.939999998,0.939999998,0.939999998
275,0.959999979,0.959999979,0.959999979
276,0.879999995,0.879999995,0.879999995
277,0.949999988,0.949999988,0.949999988
278,0.920000017,0.920000017,0.920000017
279,0.920000017,0.920000017,0.920000017
280,0.920000017,0.920000017,0.920000017
281,0.930000007,0.930000007,0.930000007
282,0.920000017,0.920000017,0.920000017
283,0.949999988,0.949999988,0.949999988
284,0.970000029,0.970000029,0.970000029
285,0.930000007,0.930000007,0.930000007
286,0.949999988,0.949999988,0.949999988
287,0.949999988,0.949999988,0.949999988
288,0.970000029,0.970000029,0.970000029
289,0.959999979,0.959999979,0.959999979
290,0.970000029,0.970000029,0.970000029
291,0.99000001,0.99000001,0.99000001
292,0.939999998,0.939999998,0.939999998
293,0.980000019,0.980000019,0.980000019
294,0.939999998,0.939999998,0.939999998
295,0.980000019,0.980000019,0.980000019
296,0.99000001,0.99000001,0.99000001
297,0.970000029,0.970000029,0.970000029
298,0.99000001,0.99000001,0.99000001
299,0.959999979,0.959999979,0.959999979
300,0.910000026,0.910000026,0.910000026
301,0.980000019,0.980000019,0.980000019
302,0.980000019,0.980000019,0.980000019
303,0.949999988,0.949999988,0.949999988
304,0.970000029,0.970000029,0.970000029
305,0.980000019,0.980000019,0.980000019
306,0.970000029,0.970000029,0.970000029
307,0.949999988,0.949999988,0.949999988
308,0.980000019,0.980000019,0.980000019
309,1,1,1
310,0.980000019,0.980000019,0.980000019
311,0.980000019,0.980000019,0.980000019
312,1,1,1
313,0.99000001,0.99000001,0.99000001
314,1,1,1
315,0.99000001,0.99000001,0.99000001
316,1,1,1
317,0.970000029,0.970000029,0.970000029
318,0.980000019,0.980000019,0.980000019
319,1,1,1
320,0.99000001,0.99000001,0.99000001
321,0.99000001,0.99000001,0.99000001
322,0.980000019,0.980000019,0.980000019
323,1,1,1
324,0.980000019,0.980000019,0.980000019
325,0.939999998,0.939999998,0.939999998
326,1,1,1
327,0.99000001,0.99000001,0.99000001
328,0.970000029,0.970000029,0.970000029
329,0.949999988,0.949999988,0.949999988
330,1,1,1
331,0.970000029,0.970000029,0.970000029
332,1,1,1
333,1,1,1
334,1,1,1
335,1,1,1
336,1,1,1
337,0.980000019,0.980000019,0.980000019
338,0.980000019,0.980000019,0.980000019
339,1,1,1
340,1,1,1
341,0.980000019,0.980000019,0.980000019
342,1,1,1
343,0.99000001,0.99000001,0.99000001
344,1,1,1
345,0.99000001,0.99000001,0.99000001
346,0.99000001,0.99000001,0.99000001
347,1,1,1
348,1,1,1
349,0.99000001,0.99000001,0.99000001
350,0.99000001,0.99000001,0.99000001
351,1,1,1
352,1,1,1
353,0.980000019,0.980000019,0.980000019
354,1,1,1
355,0.970000029,0.970000029,0.970000029
356,1,1,1
357,1,1,1
358,1,1,1
359,1,1,1
360,1,1,1
361,1,1,1
362,0.99000001,0.99000001,0.99000001
363,1,1,1
364,1,1,1
365,1,1,1
366,1,1,1
367,0.99000001,0.99000001,0.99000001
368,0.99000001,0.99000001,0.99000001
369,1,1,1
370,0.99000001,0.99000001,0.99000001
371,1,1,1
372,1,1,1
373,1,1,1
374,0.99000001,0.99000001,0.99000001
375,0.99000001,0.99000001,0.99000001
376,1,1,1
377,0.99000001,0.99000001,0.99000001
378,1,1,1
379,0.959999979,0.959999979,0.959999979
380,0.970000029,0.970000029,0.970000029
381,1,1,1
382,0.980000019,0.980000019,0.980000019
383,1,1,1
384,0.99000001,0.99000001,0.99000001
385,1,1,1
386,1,1,1
387,0.99000001,0.99000001,0.99000001
388,0.99000001,0.99000001,0.99000001
389,1,1,1
390,1,1,1
391,1,1,1
392,0.970000029,0.970000029,0.970000029
393,1,1,1
394,1,1,1
395,0.99000001,0.99000001,0.99000001
396,0.99000001,0.99000001,0.99000001
397,0.99000001,0.99000001,0.99000001
398,1,1,1
399,0.99000001,0.99000001,0.99000001
400,1,1,1
401,1,1,1
402,1,1,1
403,1,1,1
404,1,1,1
405,1,1,1
406,1,1,1
407,1,1,1
408,1,1,1
409,1,1,1
410,1,1,1
411,1,1,1
412,1,1,1
413,1,1,1
414,1,1,1
415,1,1,1
416,1,1,1
417,1,1,1
418,1,1,1
419,0.99000001,0.99000001,0.99000001
420,1,1,1
421,1,1,1
422,0.99000001,0.99000001,0.99000001
423,1,1,1
424,1,1,1
425,1,1,1
426,1,1,1
427,1,1,1
428,1,1,1
429,1,1,1
430,1,1,1
431,0.99000001,0.99000001,0.99000001
432,0.99000001,0.99000001,0.99000001
433,1,1,1
434,1,1,1
435,1,1,1
436,1,1,1
437,1,1,1
438,1,1,1
439,1,1,1
440,1,1,1
441,1,1,1
442,1,1,1
443,1,1,1
444,1,1,1
445,1,1,1
446,1,1,1
447,1,1,1
448,0.99000001,0.99000001,0.99000001
449,1,1,1
450,1,1,1
451,1,1,1
452,1,1,1
453,1,1,1
454,1,1,1
455,1,1,1
456,1,1,1
457,1,1,1
458,1,1,1
459,1,1,1
460,1,1,1
461,1,1,1
462,1,1,1
463,1,1,1
464,1,1,1
465,1,1,1
466,1,1,1
467,1,1,1
468,1,1,1
469,1,1,1
470,1,1,1
471,1,1,1
472,1,1,1
473,1,1,1
474,1,1,1
475,1,1,1
476,1,1,1
477,1,1,1
478,1,1,1
479,1,1,1
480,1,1,1
481,1,1,1
482,1,1,1
483,1,1,1
484,1,1,1
485,1,1,1
486,1,1,1
487,1,1,1
488,1,1,1
489,1,1,1
490,1,1,1
491,1,1,1
492,0.99000001,0.99000001,0.99000001
493,1,1,1
494,1,1,1
495,1,1,1
496,1,1,1
497,1,1,1
498,1,1,1
499,1,1,1
500,1,1,1
501,1,1,1
502,1,1,1
503,1,1,1
504,1,1,1
505,1,1,1
506,1,1,1
507,1,1,1
508,1,1,1
509,1,1,1
510,1,1,1
511,1,1,1
512,1,1,1
513,1,1,1
514,1,1,1
515,1,1,1
516,1,1,1
517,1,1,1
518,1,1,1
519,1,1,1
520,1,1,1
521,1,1,1
522,1,1,1
523,1,1,1
524,1,1,1
525,1,1,1
526,1,1,1
527,1,1,1
528,1,1,1
529,1,1,1
530,1,1,1
531,1,1,1
532,1,1,1
533,1,1,1
534,1,1,1
535,1,1,1
536,1,1,1
537,1,1,1
538,1,1,1
539,1,1,1
540,1,1,1
541,1,1,1
542,1,1,1
543,1,1,1
544,1,1,1
545,1,1,1
546,1,1,1
547,1,1,1
548,1,1,1
549,1,1,1
550,1,1,1
551,1,1,1
552,1,1,1
553,1,1,1
554,1,1,1
555,1,1,1
556,1,1,1
557,1,1,1
558,1,1,1
559,1,1,1
560,1,1,1
561,1,1,1
562,1,1,1
563,1,1,1
564,1,1,1
565,1,1,1
566,1,1,1
567,1,1,1
568,1,1,1
569,0.99000001,0.99000001,0.99000001
570,1,1,1
571,1,1,1
572,1,1,1
573,1,1,1
574,1,1,1
575,1,1,1
576,1,1,1
577,1,1,1
578,1,1,1
579,1,1,1
580,1,1,1
581,1,1,1
582,1,1,1
583,1,1,1
584,1,1,1
585,1,1,1
586,1,1,1
587,1,1,1
588,1,1,1
589,1,1,1
590,1,1,1
591,1,1,1
592,1,1,1
593,1,1,1
594,1,1,1
595,1,1,1
596,1,1,1
597,1,1,1
598,1,1,1
599,1,1,1
